chr2	46464581	46464767	chr2	46464560	46464760
chr2	46499814	46500475	chr2	46499799	46500000
chr2	46499814	46500475	chr2	46500280	46500500
chr2	46616497	46617342	chr2	46616120	46616640
chr2	46616497	46617342	chr2	46616980	46617120
chr2	47368918	47370143	chr2	47368940	47369300
chr2	47368918	47370143	chr2	47369480	47369622
chr2	47368918	47370143	chr2	47369680	47369900
chr2	46541698	46544265	chr2	46541820	46542040
chr2	46541698	46544265	chr2	46542300	46542560
chr2	46541698	46544265	chr2	46543140	46543520
chr2	46541698	46544265	chr2	46543720	46543940
chr2	46541698	46544265	chr2	46544060	46544260
chr2	47191521	47193363	chr2	47191520	47191740
chr2	47191521	47193363	chr2	47191991	47192058
chr2	47191521	47193363	chr2	47192519	47192720
chr2	47191521	47193363	chr2	47192780	47193020
chr2	47191521	47193363	chr2	47193199	47193350
chr2	47034146	47034911	chr2	47034360	47034660
chr2	48314106	48315728	chr2	48314200	48314680
chr2	48314106	48315728	chr2	48315060	48315107
chr2	48314106	48315728	chr2	48315140	48315400
chr2	48314106	48315728	chr2	48315580	48315640
chr2	46940390	46941878	chr2	46940658	46941020
chr2	46940390	46941878	chr2	46941140	46941340
chr2	46940390	46941878	chr2	46941480	46941780
chr2	46698689	46699696	chr2	46698720	46699120
chr2	46986348	46987545	chr2	46987080	46987340
chr2	48440406	48441214	chr2	48440480	48440760
chr2	48111253	48112304	chr2	48111280	48111940
chr2	48111253	48112304	chr2	48112060	48112320
chr2	47175627	47177035	chr2	47175645	47176160
chr2	47175627	47177035	chr2	47176440	47176660
chr2	47175627	47177035	chr2	47176740	47176960
chr2	47570494	47571981	chr2	47570860	47571200
chr2	47570494	47571981	chr2	47571300	47571520
chr2	47570494	47571981	chr2	47571724	47571960
chr20	4704409	4704670	chr20	4704100	4704936
chr20	5911126	5911906	chr20	5911600	5911880
chr20	6052071	6052735	chr20	6052400	6052660
chr20	4249093	4249842	chr20	4248982	4249140
chr20	4249093	4249842	chr20	4249163	4249420
chr20	4249093	4249842	chr20	4249520	4249760
chr20	5112821	5113595	chr20	5113060	5113260
chr20	4760486	4761348	chr20	4760700	4760920
chr20	4221298	4222072	chr20	4221240	4221700
chr20	4221298	4222072	chr20	4221920	4222180
