chr3	127597900	127598800
chr3	127628700	127629600
chr3	128051800	128052700
chr3	128123400	128124400
chr3	128409800	128410700
chr3	128487400	128488500
chr3	128649900	128651200
chr3	128725600	128726500
chr3	128879100	128880100
chr3	129160600	129162200
chr3	129183500	129184400
chr3	129249000	129250100
chr3	129278400	129279300
chr3	129439600	129440900
chr3	129447900	129448800
chr4	55343000	55350300
chr4	55392800	55400100
chr4	55631800	55643600
chr4	55847700	55857200
chr4	55937300	55960800
chr5	88265100	88273000
chr5	88880600	88885800
chr6	135052000	135056600
chr6	135179700	135186200
chr6	135496900	135499900
chr6	136249100	136251200
chr6	136287800	136291600
chr6	136789200	136793600
chr8	127720800	127769300
chr8	128041300	128118000
chr11	4093800	4096200
chr11	4392900	4394000
chr11	5241800	5249100
chr11	5249900	5253500
chr11	5268000	5271200
chr11	5624300	5625300
chr11	6388600	6391100
chr11	33159500	33162300
chr11	33255200	33259500
chr11	33733500	33740100
chr11	33768000	33776700
chr11	33880400	33889900
chr11	33890600	33908000
chr11	34047800	34055300
chr11	34070800	34073000
chr11	34099700	34116500
chr11	34437500	34441700
chr11	61788300	61868000
chr11	61868100	61897400
chr12	53726100	53728400
chr12	53999200	54001000
chr12	54188500	54189800
chr12	54279200	54284700
chr12	54285100	54289300
chr12	54290700	54297500
chr12	54297600	54305000
chr12	54324200	54325800
chr12	54389900	54391900
chr12	54418700	54419800
chr12	54472300	54474100
chr12	110740300	110747700
chr12	111682700	111687900
chr12	111765500	111770700
chr12	111839300	111844000
chr12	112004800	112006900
chr12	112008900	112015100
chr12	112107100	112109400
chr12	112124800	112127700
chr19	12610400	12611300
chr19	12666300	12667200
chr19	12669100	12670200
chr19	12801500	12802400
chr19	12805700	12807200
chr19	12880000	12889600
chr19	12889700	12895600
chr19	12918800	12919800
chr19	12930500	12936100
chr19	12936400	12941800
chr19	12945300	12946700
chr19	12956800	12957700
chr19	12964700	12966100
chr19	13102400	13103700
chr19	13116400	13117200
chr19	13150000	13150900
chr19	13152600	13153500
chr19	48325000	48326600
chr19	48362800	48364900
chr19	48390300	48392100
chr19	48398300	48400800
chr19	48445000	48446400
chr19	48468500	48469700
chr19	48501100	48502800
chr19	48588600	48589600
chr19	48618800	48620000
chr19	48646000	48647200
chr19	48713700	48714900
chr19	48753300	48754700
chr19	48810600	48811400
chr19	48858500	48860700
chr19	48872000	48874100
chr19	48874200	48875100
chr19	48899800	48900700
chr19	48964700	48966200
chr19	48993000	48994300
chr19	49084500	49085800
chr19	49113400	49114800
chr19	49127600	49129900
chr19	49147900	49148800
chr19	49154700	49155900
chr19	49334700	49335500
chr19	49363100	49364300
chrX	46836500	46837900
chrX	46911900	46912700
chrX	47144200	47145600
chrX	47232600	47234100
chrX	47482200	47484400
chrX	47560700	47561900
chrX	47581900	47582700
chrX	47649000	47651200
chrX	47658300	47659700
chrX	48466400	48471400
chrX	48475100	48476900
chrX	48520700	48522700
chrX	48573600	48575400
chrX	48589500	48590400
chrX	48597000	48598700
chrX	48694800	48697600
chrX	48785600	48787000
chrX	48800200	48803000
chrX	48896500	48899400
chrX	48910600	48912500
chrX	48917000	48919600
chrX	48957200	48958900
chrX	49001200	49003000
chrX	49041400	49044400
chrX	49079400	49080600
chrX	49100400	49102100
chrX	49123100	49124100
chrX	49150100	49150800
chrX	49171400	49173100
chrX	49185900	49186900
chrX	49235100	49236200
chrX	49695600	49696500
